listings_count,count
1,37505
2,9112
3,4014
4,2288
5,1590
6,1302
7,952
8,680
9,567
10,520
11,473
12,480
13,390
14,378
15,240
16,256
17,289
18,324
19,209
20,280
21,189
22,132
23,345
24,96
25,150
26,156
27,216
28,140
29,174
30,210
31,62
32,192
33,66
34,136
35,35
36,72
37,111
38,38
39,117
40,80
41,82
42,210
43,86
44,44
45,90
46,138
49,49
50,150
51,102
52,52
53,53
54,54
55,110
57,171
60,60
62,62
66,132
72,144
74,74
75,75
76,76
78,78
79,158
84,84
97,97
101,101
120,120
121,242
127,254
148,148
157,157
165,165
168,168
189,189
259,259
266,266
285,285
