listings_count,count
1,43381
2,11272
3,5229
4,3232
5,2185
6,1734
7,1414
8,1000
9,927
10,860
11,759
12,672
13,624
14,518
15,300
16,608
17,510
18,414
19,266
20,460
21,336
22,286
23,299
24,288
25,100
26,234
27,243
28,168
29,145
30,270
31,155
32,160
33,99
34,170
35,105
36,216
37,111
38,190
39,78
40,160
41,164
42,168
43,129
44,88
45,180
46,46
47,188
48,240
49,49
50,100
51,153
52,156
53,159
54,162
55,110
56,112
57,57
58,58
59,118
60,60
61,61
62,186
64,64
68,68
69,69
72,144
73,73
74,74
81,81
85,170
88,88
89,89
93,93
98,98
103,103
106,106
108,216
111,111
112,112
123,246
125,125
139,139
170,170
195,195
200,200
202,202
233,233
259,259
288,288
301,301
312,312
595,595
